surveytaker	residence1	residence2	nationality1	nationality2	gender	age	maritalstatus	research	designation	workplace	malebias_target	femalebias_target	all_bias_target	biastype1	malebias_witness	femalebias_witness	all_bias_witness	biastype2	reported1	reported2_yn	reported2_desc	reporttype1	reporttype2_yn	reporttype2_desc	designated1	designated2	response1	response2	comfort	positiveimpact1	positiveimpact2	negativeimpact1	negativeimpact2
1	Austria	RoW	India	India	Female	20 - 30	Married	STEM	PhD student	University	yes	no	no	Gender Bias, Sexual harrassment	no	yes	yes	Gender bias, Sexual harrassment	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	no
2	Canada	America	India	India	Female	30 - 40	Married	STEM	Post doc	Research institution	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	yes	yes	yes	Gender bias, Sexual harrassment, Emotional harrassment, Mental harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	na
3	Canada	America	India	India	Female	30 - 40	Single	STEM	Entrepreneur/Freelance	Entrepreneur/Freelance	yes	no	no	Gender Bias	yes	no	yes	Gender bias, Physical harrassment, Emotional harrassment, Mental harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Designated committee	Designated committee	Strict actions were taken.	yes	Very comfortable	A strict warning was given to the people involved by the designated committee	yes	na	no
4	Canada	America	Canada	America	Female	20 - 30	Single	STEM	PhD student	University	yes	yes	yes	Gender Bias	yes	yes	yes	Gender bias	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	Colleague, Supervisor, Designated committee	Designated committee	Strict actions were taken.	yes	Somewhat comfortable	Change in who was working on the team	na	na	no
5	Canada	America	United States	America	Female	20 - 30	Single	STEM	Post doc	Research institution	yes	not sure	yes	Gender Bias	not sure	not sure	not sure	na	no, I did not bother.	no	no, I did not bother.	no, I did not bother to report.	no	no, I did not bother to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	na	na	na
6	Canada	America	India	India	Female	30 - 40	Social Partnership	STEM	Admin/Management	Healthcare	not sure	not sure	not sure	na	not sure	not sure	not sure	na	na	na	na	na	na	na	Supervisor, Human Resources	Human Resources/Supervisor	na	na	na	na	na	na	na
7	Canada	America	India	India	Female	30 - 40	Married	STEM	PhD student	University	yes	yes	yes	Gender Bias, Mental harrassment	yes	yes	yes	Mental harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Supervisor, I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	yes
8	Canada	America	India	India	Male	30 - 40	Married	STEM	PhD student	University	no	no	no	na	no	yes	yes	Gender Bias, Maternity	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	na	na	na	na	na	na	na
9	Canada	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	no	no	no	na	no	yes	yes	Sexual harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Designated committee	Designated committee	Strict actions were taken.	yes	Very comfortable	Better work environment	yes	na	no
10	Canada	America	Canada	America	Female	20 - 30	Single	STEM	PhD student	University	not sure	no	no	Gender Bias	yes	yes	yes	Gender bias	I advised the colleague during and after the fact.	na	na	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	no
11	Canada	America	India	India	Female	30 - 40	Married	STEM	Post doc	Research institution	no	no	no	na	yes	no	yes	Emotional harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	na	na	na
12	Canada	America	India	India	Female	30 - 40	Married	STEM	Post doc	Research institution	no	yes	yes	Gender Bias	yes	yes	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	Human Resources	Human Resources/Supervisor	didn't report	na	Not comfortable	na	no	na	no
13	Canada	America	India	India	Female	30 - 40	Single	STEM	Admin/Management	Research institution	yes	yes	yes	Gender Bias	yes	yes	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	I don't know.	I don't know.	na	na	Not comfortable	na	na	na	na
14	Czech Republic	RoW	India	India	Female	20 - 30	Single	STEM	PhD student	Research institution	no	no	no	na	no	no	no	na	na	na	na	na	na	na	I don't know.	I don't know.	na	na	na	na	na	na	na
15	Czech Republic	RoW	India	India	Male	20 - 30	Single	STEM	PhD student	Research institution	no	no	no	na	no	no	no	na	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Human Resources	Human Resources/Supervisor	Strict actions were taken.	yes	Somewhat comfortable	na	yes	na	no
16	Czech Republic	RoW	India	India	Male	20 - 30	Don't want to specify	STEM	PhD student	Research institution	not sure	not sure	not sure	na	no	no	no	na	na	na	na	na	na	na	Designated committee	Designated committee	na	na	na	na	na	na	na
17	Czech Republic	RoW	India	India	Male	20 - 30	Single	STEM	PhD student	Research institution	no	no	no	na	no	no	no	na	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Human Resources, Designated committee	Designated committee	Strict actions were taken.	yes	Somewhat comfortable	na	yes	na	na
18	Czech Republic	RoW	India	India	Male	30 - 40	Single	STEM	PhD student	Research institution	yes	not sure	yes	Mental harrassment	no	no	no	na	na	na	na	na	na	na	Supervisor	Human Resources/Supervisor	na	na	na	na	na	na	na
19	Czech Republic	RoW	Belarus	RoW	Female	20 - 30	Married	STEM	PhD student	Research institution	no	no	no	na	yes	no	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	na	na	na	na	na	na	na
20	Czech Republic	RoW	Poland	RoW	Female	20 - 30	Single	STEM	PhD student	University	no	no	no	na	no	no	no	na	no, I did not bother.	no	no, I did not bother.	no, I did not bother to report.	no	no, I did not bother to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	no
21	Germany	RoW	India	India	Female	20 - 30	Married	STEM	Post doc	University	no	no	no	na	no	yes	yes	Emotional harrassment, Mental harrassment	no, I did not bother.	no	no, I did not bother.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	na	no
22	Germany	RoW	India	India	Female	30 - 40	Married	STEM	Post doc	University	no	yes	yes	Emotional harrassment, Mental harrassment	yes	yes	yes	Emotional harrassment, Mental harrassment	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I did not bother to report.	no	no, I did not bother to report.	Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	na	yes
