ID,Country of Residence,Nationality,Gender,Age,Marital status,Field of Research,Designation [Career Stage],Work environment,Please indicate the total number of MALE group leaders/ bosses you have worked with.,Please indicate the total number of FEMALE group leaders/ bosses you have worked with.,Please indicate below the gender of your current boss.,Indicate the level of support that you have received from your MALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Friends],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Friends],Have you faced workplace gender-bias/discrimination?  [Male collegue],Have you faced workplace gender-bias/discrimination?  [Female collegue],"If you have answered yes in the previous question, please specify from the following :",Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Male],Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Female],"If you have answered yes in the previous question, please specify from the following :",Did you personally respond to the incident?,Did you report the issue to the appropriate authority? ,Who is responsible for addressing such complaints in your work environment? ,How seriously were your complaints taken? ,How comfortable were you in objecting against and/or reporting this issue?,"Was there any POSITIVE impact/outcome from reporting the incident? (e.g. positive change in policy, setting an example for others, support from colleagues, better work environment etc.)","Was there any NEGATIVE impact/outcome from reporting the incident? (e.g. threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment etc.)",Who would you choose/prefer to work with? [Male boss/leader],Who would you choose/prefer to work with? [Female boss/leader],"How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Male collegues]","How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Female collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Male collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Female collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Male collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Female collegues]","If you volunteer for the above mentioned activities, please tell us what incentivizes you.","If you don't volunteer for the above mentioned activities, please tell us your reasons below. ",Have you ever been involved in activities or events to specifically to show support towards your female colleagues or colleagues from other minority groups?,"If your response to the previous question is YES, please provide more details about 'your involvement', 'nature of the event/activity', and 'impact of the event/activity'?",What kind of support at a workplace is most important for empowering female employees or employees from other minority groups?,Do you feel your workplace policies help you manage your professional and personal life?,"What is your group leader’s attitude towards personal leave (pregnancy, maternity/paternity leave, adoption, illness, family etc.) ?",Does your workplace offer sufficient leave of absence for personal reasons?  [Maternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Paternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Sick leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Family Leave],Does your workplace offer one or several of the following childcare and related support?
1,United States,India,Female,40 - 50,Married,"Science, Technology, Engineering, Mathematics [STEM]",Senior Scientist,Research institution,1,0,Male,Never,Never,Never,Never,Never,Mostly,Never,Never,Never,Never,Never,Never,Mostly,Never,Not sure,Not sure,,Not sure,Not sure,,"No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",Human Resources,No actions were taken.,Somewhat comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, I left the job; and the PIs perceive my job as a replaceable job",Maybe,Maybe,Never,Never,Never,Always,Never,Always,,,"No, I don’t have such opportunities",,speaking out,Mostly,Disrespectful,Insufficient,Insufficient,Insufficient,Insufficient,None
2,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,1,3,Female,Always,Moderately,Not Available,Mostly,Always,Always,Always,Moderately,Mostly,Mostly,Moderately,Always,Not Available,Mostly,Yes,Yes,"Gender Bias, Emotional harrassment, Mental harrassment",Yes,Yes,Emotional harrassment,"No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",Designated committee,did not report,Not comfortable,did not report,did not report,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Mostly,"It is important to do the tasks that are important to the organization. Because what helps the organization, the the end helps me.",,"No, but I want to get involved",,"inclusive work environment, equal pay",Rarely,Unwelcome,None,None,Sufficient,None,"Extension of work contract to cover the personal leave, Nursing room(s)"
3,United Kingdom,India,Female,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,5,1,Male,Mostly,Moderately,Mostly,Mostly,Always,Always,Mostly,Always,Mostly,Mostly,Mostly,Always,Not Available,Always,Yes,Yes,Gender Bias,No,Yes,"Gender bias, Mental harrassment","No, I did not know how to respond so I let it pass.","No, I was afraid of being misjudged.",Supervisor,No complains made,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Yes,Yes,Always,Sometimes,Mostly,Mostly,Mostly,Mostly,,Everybody has to share the responsibility irrespective of gender.,"No, but I want to get involved",,Don't judge us for taking strong career decisions or make us choose either family or career.,Mostly,Generally female supervisors are more unwelcome toward marriage or pregnancy of female student.,Sufficient,Sufficient,Sufficient,Sufficient,"Extension of work contract to cover the personal leave, Flexible HR policy or other administrative support, Financial support for getting a helping hand or intern to help at work during pregnancy/ illness, Career support programs (meeting, workshop etc.) to empower working mothers, Nursing room(s)"
4,United States,Iran,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Recently have completed Ph.D. and seeking for new opportunities,University,6,0,Male,Rarely,Moderately,Not Available,Rarely,Always,Always,Moderately,Not Available,Not Available,Not Available,Not Available,Always,Not Available,Moderately,No,Not Available,,No,No,,I have not faced it in academia but in industry and I immediately responded,"Yes, I reported the issue.",Supervisor,Strict actions were taken.,Very comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, I received definite support, however the person who had discriminated me got fired since he believed that women cannot lead industrial projects and he was not willing to change his attitude and apologize. This issue had created problem in carrying on the project. (I believe training is the best solution rather than firing)",No,Yes,Yes,Mostly,Sometimes,Sometimes,Mostly,Rarely,Mostly,Improving productivity,Lack of time,Yes,Providing information to a female visiting scholar . Information mostly has been related to accommodation and her new work environment.,"Believing on the skills of their female employers or colleagues and considering that everybody needs a certain time to learn about the new research problems and topics. Consider that people regardless of their gender do not have unlimited skills and that is not showing their weakness, just everybody has a set of specific skills related to her/his profession and life. New skills and knowledge can be always learned regardless of genders and age. Respecting to people's interest, dreams and goals they want to achieve and never degrade them.",Sometimes,Never discussed,None,None,Sufficient,Insufficient,I am not aware 
5,United States,India,Female,40 - 50,Married,"Science, Technology, Engineering, Mathematics [STEM]",Staff Scientist,University,3,2,Male,Mostly,Moderately,Moderately,Moderately,Always,Always,Moderately,Never,Rarely,Rarely,Moderately,Always,Not Available,Always,Yes,Yes,"Gender Bias, Emotional harrassment, Mental harrassment",No,Yes,"Gender bias, Emotional harrassment, Mental harrassment","Yes, I immediately responded.","Yes, I reported the issue.",Human Resources,No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Yes,Maybe,Always,Rarely,Never,Mostly,Rarely,Always,Experience,,"No, but I want to get involved",,"Encourage, Listen and take actions on complaints",Rarely,Disrespectful,Insufficient,None,Insufficient,Insufficient,None
6,Canada,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,3,1,Male,Always,Always,Mostly,Always,Always,Mostly,Always,Always,Mostly,Mostly,Always,Mostly,Always,Always,Yes,Yes,"Gender Bias, Emotional harrassment, Mental harrassment",Yes,Yes,"Gender bias, Sexual harrassment, Emotional harrassment, Mental harrassment","No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",I don't know.,No actions were taken.,Not comfortable,No,,Yes,No,Sometimes,Mostly,Sometimes,Mostly,Sometimes,Always,"Lab harmony, productivity ",,"No, but I want to get involved",,Strong ombudsman committee to report harassment ,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Flexible HR policy or other administrative support, Nursing room(s)"
7,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Non-profit institution,2,2,Female,Mostly,Moderately,Not Available,Mostly,Always,Always,Always,Always,Mostly,Not Available,Always,Always,Always,Always,Yes,No,"Gender Bias, Emotional harrassment, Mental harrassment",Yes,No,"Gender bias, Emotional harrassment, Mental harrassment","No, I was discouraged from responding to the incident.","Yes, I reported the issue.","Supervisor, Designated committee",No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, I faced an unfriendly cold work environment and discomfort throughout my stay. ",Maybe,Maybe,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Nothing as such,,"No, but I want to get involved",,"Moral, proffesional, financial and emotional at times of struggle in the project. ",Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Career support programs (meeting, workshop etc.) to empower working mothers, Nursing room(s), Changing platform for babies only in ladies toilets, Rest I have less idea"
8,United States,India,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,3,1,Female,Never,Never,Never,Never,Moderately,Not Available,Rarely,Mostly,Never,Never,Never,Always,Not Available,Moderately,Yes,Yes,"Gender Bias, Sexual harrassment, Emotional harrassment, Mental harrassment",No,No,,"No, I was afraid of furthering the issue.","No, I was afraid of being misjudged.",I don't know.,No actions were taken.,Not comfortable,Didn’t not complain ,No,Maybe,Maybe,Sometimes,Sometimes,Sometimes,Mostly,Rarely,Always,,,"No, but I want to get involved",,,Always,Disrespectful,None,None,Insufficient,None,None
9,United States,India,Female,30 - 40,Don't want to specify,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,1,1,Male,Mostly,Mostly,Mostly,Mostly,Always,Always,Always,Mostly,Mostly,Mostly,Mostly,Always,Always,Always,No,No,,No,No,,"Yes, I immediately responded.",Someone else reported the issue on my behalf.,Human Resources,Strict actions were taken.,Somewhat comfortable,No,,No,No,Rarely,Rarely,Mostly,Mostly,Mostly,Mostly,,,Yes,,,Always,Neutral,Insufficient,Insufficient,Sufficient,None,Nursing room(s)
10,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Senior Scientist,Research institution,4,1,Male,Moderately,Moderately,Moderately,Mostly,Always,Always,Always,Mostly,Always,Always,Mostly,Always,Moderately,Always,Yes,No,"Gender Bias, Emotional harrassment, Mental harrassment",No,Yes,"Sexual harrassment, Emotional harrassment, Mental harrassment","No, I was discouraged from responding to the incident.",Someone else reported the issue on my behalf.,"Supervisor, Human Resources",We were told that actions have been taken but they were not very apparent. ,Not comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, An institute-wide statement has been issued against harassment of any kind will not be tolerated. And several compulsory training modules introduced for employees to go through to understand what can be called as harassment to ha e a breed work environment. ",No,Maybe,Maybe,Mostly,Sometimes,Rarely,Always,Sometimes,Mostly,"No incentives. The male colleagues wait for the females most of the time to prepare the reagents. The supervisor is aware of the situation but doesn’t do anything about it. 
",Such responsibilities must be equally distributed just like the science projects. ,"No, I don’t have such opportunities",,,Rarely,Unwelcome,Sufficient,Sufficient,Insufficient,None,"On-site or subsidized childcare (nursery, kindergarten), Nursing room(s)"
